[2026-07-23 17:06:23,780] INFO in logger: [CHAT] user=anonymous | lang=sw rag_hits=0
[2026-07-24 12:11:59,999] ERROR in chat_routes: Gemini generation failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 151.37507ms.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.6-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '0s'}]}}
[2026-07-24 12:12:19,228] INFO in logger: [CHAT] user=anonymous | lang=en rag_hits=0
[2026-07-24 12:12:47,466] ERROR in chat_routes: Gemini generation failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 12.682099892s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '12s'}]}}
[2026-07-24 16:34:41,648] INFO in logger: [CHAT] user=anonymous | lang=en rag_hits=0
[2026-07-24 16:34:50,240] INFO in logger: [CHAT] user=anonymous | lang=sw rag_hits=0
[2026-07-24 17:05:20,822] INFO in logger: [CHAT] user=anonymous | lang=ca rag_hits=0
[2026-07-24 17:06:44,057] INFO in logger: [CHAT] user=anonymous | lang=sw rag_hits=0
[2026-07-25 13:04:44,036] INFO in logger: [CHAT] user=anonymous | lang=sw rag_hits=0
[2026-07-25 13:04:55,154] INFO in logger: [CHAT] user=anonymous | lang=en rag_hits=0
[2026-07-25 13:20:10,658] INFO in logger: [CHAT] user=anonymous | lang=fi rag_hits=0
[2026-07-25 13:35:36,247] INFO in logger: [CHAT] user=anonymous | lang=sw rag_hits=0
[2026-07-25 13:35:49,185] INFO in logger: [CHAT] user=anonymous | lang=en rag_hits=0
[2026-07-25 13:35:58,787] INFO in logger: [CHAT] user=anonymous | lang=en rag_hits=0
[2026-07-25 16:33:50,407] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-25 16:34:04,965] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-25 16:41:20,155] INFO in logger: [REGISTER] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | new user isoldechatboxai@gmail.com
[2026-07-25 16:46:42,996] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-25 17:01:13,185] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=fi rag_hits=0
[2026-07-26 11:45:07,284] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-26 11:45:20,607] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=sw rag_hits=0
[2026-07-26 11:45:32,742] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=en rag_hits=0
[2026-07-26 11:48:47,909] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=en rag_hits=0
[2026-07-26 11:50:06,879] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=en rag_hits=0
[2026-07-26 12:34:31,758] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-26 12:34:48,072] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-26 13:20:10,826] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=sw rag_hits=0
[2026-07-26 13:25:42,563] INFO in logger: [CHAT] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | lang=en rag_hits=0
[2026-07-26 13:51:47,041] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-27 10:25:37,263] INFO in logger: [LOGIN_SUCCESS] user=a0ac5188-d1a3-4c6f-99f9-c3cb6b738923 | isoldechatboxai@gmail.com
[2026-07-27 13:24:17,047] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-27 13:24:18,572] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-27 13:24:22,742] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-27 13:25:25,391] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
[2026-07-27 13:25:34,398] INFO in logger: [LOGIN_FAILED] user=anonymous | attempt for isoldechatboxai@gmail.com
